seed,timestep,scenario,emission_model,op_risk,N,E,B,F_daily,P,C,T,s2r,bme,slashed_total,fraud_captured_pct,op_slashed_total,op_exited_total,pid_integral,pid_emission_rate,avg_reputation,downtime_count,ensemble_seed,gap
1016,1824,regulatory,static,True,11868,84810.0,79.44,782.84,2.796406,71844018.0,454230795,0.000937,0.000937,304214936,0.0001,15859,1162,,,0.2088,156,1016,gap3
1017,1824,regulatory,pid,True,11446,27397.0,42.52,703.21,5.563372,42329069.0,490268681,0.001552,0.001552,340263630,0.0007,5051,1557,-5.0,0.25,0.1716,163,1017,gap3
1017,1824,regulatory,static,True,543,84810.0,345.3,50.0,0.04189,328972870.0,196839716,0.004071,0.004071,46839716,0.0,0,177,,,0.1562,2,1017,gap3
1018,1824,regulatory,pid,True,9942,47810.0,118.0,657.88,1.595956,128602964.0,481847615,0.002468,0.002468,331823128,0.0004,24487,1363,-3.8046,0.4363,0.178,138,1018,gap3
1018,1824,regulatory,static,True,11867,84810.0,58.91,774.86,3.913936,67629096.0,458513923,0.000695,0.000695,308501442,0.0001,12481,1423,,,0.1784,138,1018,gap3
1019,1824,regulatory,pid,True,10848,27397.0,60.71,702.74,3.270933,57148438.0,488422602,0.002216,0.002216,338400974,0.0007,21628,1495,-5.0,0.25,0.1732,117,1019,gap3
1019,1824,regulatory,static,True,11868,84810.0,90.87,762.84,2.813266,90249391.0,435798884,0.001071,0.001071,285787636,0.0001,11248,1016,,,0.2093,145,1019,gap3
1020,1824,regulatory,pid,True,10772,36016.0,66.09,644.95,3.001571,99828743.0,476236540,0.001835,0.001835,326217809,0.0006,18731,1396,-4.0866,0.3286,0.1639,140,1020,gap3
1020,1824,regulatory,static,True,3502,84810.0,122.51,161.54,0.346949,263065224.0,262833533,0.001445,0.001445,112833529,0.0001,4,318,,,0.2152,41,1020,gap3
1021,1824,regulatory,pid,True,10733,59273.0,79.06,620.9,2.381478,83676621.0,466716097,0.001334,0.001334,316705671,0.0003,10426,1402,-2.6793,0.5409,0.1497,155,1021,gap3
1021,1824,regulatory,static,True,4389,84810.0,135.2,188.77,0.409897,221528568.0,304463156,0.001594,0.001594,154453638,0.0001,9518,571,,,0.1951,49,1021,gap3
1022,1824,regulatory,pid,True,10993,27397.0,55.65,697.5,3.62784,66366312.0,496382581,0.002031,0.002031,346373421,0.0006,9160,1465,-5.0,0.25,0.1856,121,1022,gap3
1022,1824,regulatory,static,True,2736,84810.0,273.7,162.33,0.187505,239067904.0,286850399,0.003227,0.003227,136847827,0.0001,2572,487,,,0.1808,30,1022,gap3
1023,1824,regulatory,pid,True,9598,45982.0,130.07,573.5,1.381497,67377603.0,463173260,0.002829,0.002829,313155532,0.0003,17728,1432,-4.0629,0.4196,0.1703,122,1023,gap3
1023,1824,regulatory,static,True,614,84810.0,309.17,50.0,0.047461,292868455.0,232943417,0.003645,0.003645,82939858,0.0001,3559,286,,,0.1812,9,1023,gap3
1024,1824,regulatory,pid,True,9751,69851.0,77.99,516.89,2.041658,80397607.0,465179939,0.001116,0.001116,315165019,0.0003,14920,1497,-2.5699,0.6374,0.1581,113,1024,gap3
1024,1824,regulatory,static,True,11867,84810.0,82.07,709.43,2.438835,77005605.0,449090335,0.000968,0.000968,299078916,0.0001,11419,1279,,,0.1932,184,1024,gap3
1025,1824,regulatory,pid,True,10718,27490.0,62.14,656.0,3.103617,91595877.0,475775796,0.00226,0.00226,325759182,0.0007,16614,1475,-4.5705,0.2508,0.1657,145,1025,gap3
1025,1824,regulatory,static,True,11868,84810.0,69.3,736.38,3.281407,82870628.0,443246482,0.000817,0.000817,293230040,0.0001,16442,1222,,,0.1843,142,1025,gap3
1026,1824,regulatory,pid,True,10476,27397.0,29.21,558.29,5.673633,38370173.0,498645355,0.001066,0.001066,348620505,0.0007,24850,1491,-5.0,0.25,0.166,142,1026,gap3
1026,1824,regulatory,static,True,11868,84810.0,95.31,735.76,2.177805,86814954.0,439249222,0.001124,0.001124,289239092,0.0001,10130,1101,,,0.1912,162,1026,gap3
1027,1824,regulatory,pid,True,10939,27397.0,71.22,721.0,3.074489,51227846.0,477396493,0.002599,0.002599,327380655,0.0007,15838,1491,-5.0,0.25,0.1624,137,1027,gap3
1027,1824,regulatory,static,True,11866,84810.0,78.63,828.01,3.177008,76656116.0,449526283,0.000927,0.000927,299521899,0.0001,4384,1393,,,0.1837,113,1027,gap3
1028,1824,regulatory,pid,True,11755,27397.0,56.26,739.79,3.880177,68301109.0,480933902,0.002054,0.002054,330917395,0.0006,16507,1460,-5.0,0.25,0.1718,159,1028,gap3
1028,1824,regulatory,static,True,8025,84810.0,115.5,443.01,1.186161,136713306.0,389311767,0.001362,0.001362,239303805,0.0001,7962,766,,,0.1864,112,1028,gap3
1029,1824,regulatory,pid,True,9114,111007.0,157.62,501.7,0.879105,108356617.0,458791483,0.00142,0.00142,308779275,0.0001,12208,1438,-0.4043,1.0129,0.1561,113,1029,gap3
1029,1824,regulatory,static,True,11863,84810.0,52.88,771.83,4.078795,75453828.0,450702887,0.000624,0.000624,300697198,0.0001,5689,1298,,,0.187,146,1029,gap3
42,1824,regulatory,pid,True,11189,27397.0,58.3,684.79,3.38277,59623999.0,493171888,0.002128,0.002128,343153630,0.0007,18258,1481,-5.0,0.25,0.1757,149,42,gap3
42,1824,regulatory,static,True,11868,84810.0,83.05,819.8,2.999778,74084700.0,452087800,0.000979,0.000979,302080516,0.0001,7284,1479,,,0.1743,174,42,gap3
