seed,timestep,scenario,emission_model,op_risk,N,E,B,F_daily,P,C,T,s2r,bme,slashed_total,fraud_captured_pct,op_slashed_total,op_exited_total,pid_integral,pid_emission_rate,avg_reputation,downtime_count,rho_corr,ensemble_seed
1028,1824,competitor,pid,True,10302,27397.0,52.44,410.04,2.298239,41177657.0,510633804,0.001914,0.001914,360617562,0.0006,16242,1501,-5.0,0.25,0.1802,112,0.01,1028
1029,1824,competitor,pid,True,9902,75552.0,92.59,395.18,1.220145,89940409.0,500056164,0.001226,0.001226,350041301,0.0003,14863,1456,-2.1227,0.6894,0.1738,124,0.01,1029
1000,1824,competitor,pid,True,9493,40573.0,64.08,377.58,1.669429,53299682.0,504828701,0.001579,0.001579,354808504,0.0004,20197,1491,-4.4718,0.3702,0.1739,112,0.03,1000
1001,1824,competitor,pid,True,9823,34984.0,39.83,370.08,2.768568,55064541.0,500958260,0.001138,0.001138,350933138,0.0005,25122,1502,-4.6917,0.3192,0.1793,130,0.03,1001
1002,1824,competitor,pid,True,10884,27397.0,41.47,490.83,3.824253,29213864.0,518116745,0.001514,0.001514,368094460,0.0009,22285,1581,-5.0,0.25,0.1742,136,0.03,1002
1003,1824,competitor,pid,True,9488,38833.0,51.41,387.21,2.206977,42844148.0,516555649,0.001324,0.001324,366539658,0.0005,15991,1490,-4.5799,0.3544,0.1853,109,0.03,1003
1004,1824,competitor,pid,True,10261,80729.0,84.5,402.55,1.460491,71385624.0,506293746,0.001047,0.001047,356275341,0.0003,18405,1436,-1.6255,0.7367,0.1463,117,0.03,1004
1005,1824,competitor,pid,True,9214,35410.0,100.5,378.13,1.112352,42277079.0,503046370,0.002838,0.002838,353037751,0.0006,8619,1534,-4.9048,0.3231,0.1837,95,0.03,1005
1006,1824,competitor,pid,True,9123,43197.0,57.92,371.11,1.955705,48568142.0,503869934,0.001341,0.001341,353850313,0.0005,19621,1488,-4.5078,0.3942,0.1789,108,0.03,1006
1007,1824,competitor,pid,True,9504,39611.0,44.32,386.28,2.565771,37165969.0,509440243,0.001119,0.001119,359414677,0.0005,25566,1551,-4.5783,0.3615,0.1759,121,0.03,1007
1008,1824,competitor,pid,True,10105,27397.0,38.66,433.91,3.49142,44849328.0,509903988,0.001411,0.001411,359878567,0.0005,25421,1466,-5.0,0.25,0.1807,137,0.03,1008
1009,1824,competitor,pid,True,11049,27397.0,32.42,492.95,5.037817,59025447.0,507776544,0.001183,0.001183,357751252,0.0005,25292,1457,-5.0,0.25,0.1701,150,0.03,1009
1010,1824,competitor,pid,True,9209,45645.0,93.5,363.89,1.134005,60347574.0,498759975,0.002048,0.002048,348735288,0.0005,24687,1518,-4.2939,0.4165,0.1725,104,0.03,1010
1011,1824,competitor,pid,True,9088,61641.0,82.94,334.74,1.146384,99178365.0,497301944,0.001345,0.001345,347286510,0.0004,15434,1417,-3.4063,0.5625,0.1915,107,0.03,1011
