fraud_rate_pct,total_slashed,honest_yield_impact_pct,surviving_mercs,surviving_honest,total_active_final,poc,seed
3.0392,0.0,0.0,150,850,1000,False,5044
2.8849,0.0,0.0,150,850,1000,False,5045
2.9762,0.0,0.0,150,850,1000,False,5046
2.9795,0.0,0.0,150,850,1000,False,5047
2.9937,0.0,0.0,150,850,1000,False,5048
2.9444,0.0,0.0,150,850,1000,False,5049
2.9885,0.0,0.0,150,850,1000,False,5050
2.9463,0.0,0.0,150,850,1000,False,5051
2.9581,0.0,0.0,150,850,1000,False,5052
3.0321,0.0,0.0,150,850,1000,False,5053
2.8751,0.0,0.0,150,850,1000,False,5054
3.0433,0.0,0.0,150,850,1000,False,5055
3.0707,0.0,0.0,150,850,1000,False,5056
2.9411,0.0,0.0,150,850,1000,False,5057
2.9956,0.0,0.0,150,850,1000,False,5058
2.8312,0.0,0.0,150,850,1000,False,5059
3.0022,0.0,0.0,150,850,1000,False,5060
2.9759,0.0,0.0,150,850,1000,False,5061
3.0956,0.0,0.0,150,850,1000,False,5062
2.9855,0.0,0.0,150,850,1000,False,5063
3.0077,0.0,0.0,150,850,1000,False,5064
3.0441,0.0,0.0,150,850,1000,False,5065
3.2016,0.0,0.0,150,850,1000,False,5066
3.0666,0.0,0.0,150,850,1000,False,5067
2.9364,0.0,0.0,150,850,1000,False,5068
3.0153,0.0,0.0,150,850,1000,False,5069
2.8164,0.0,0.0,150,850,1000,False,5070
2.8847,0.0,0.0,150,850,1000,False,5071
3.037,0.0,0.0,150,850,1000,False,5072
3.0405,0.0,0.0,150,850,1000,False,5073
2.9564,0.0,0.0,150,850,1000,False,5074
3.046,0.0,0.0,150,850,1000,False,5075
2.9742,0.0,0.0,150,850,1000,False,5076
3.0038,0.0,0.0,150,850,1000,False,5077
2.9838,0.0,0.0,150,850,1000,False,5078
3.0208,0.0,0.0,150,850,1000,False,5079
3.0244,0.0,0.0,150,850,1000,False,5080
2.9849,0.0,0.0,150,850,1000,False,5081
3.0899,0.0,0.0,150,850,1000,False,5082
3.2074,0.0,0.0,150,850,1000,False,5083
2.9633,0.0,0.0,150,850,1000,False,5084
3.0008,0.0,0.0,150,850,1000,False,5085
3.049,0.0,0.0,150,850,1000,False,5086
3.0019,0.0,0.0,150,850,1000,False,5087
3.0014,0.0,0.0,150,850,1000,False,5088
2.9468,0.0,0.0,150,850,1000,False,5089
2.9452,0.0,0.0,150,850,1000,False,5090
2.9578,0.0,0.0,150,850,1000,False,5091
3.0586,0.0,0.0,150,850,1000,False,5092
2.9071,0.0,0.0,150,850,1000,False,5093
3.0236,0.0,0.0,150,850,1000,False,5094
3.0384,0.0,0.0,150,850,1000,False,5095
3.0211,0.0,0.0,150,850,1000,False,5096
2.9542,0.0,0.0,150,850,1000,False,5097
2.9636,0.0,0.0,150,850,1000,False,5098
2.9973,0.0,0.0,150,850,1000,False,5099
