fraud_rate_pct,total_slashed,honest_yield_impact_pct,surviving_mercs,surviving_honest,total_active_final,poc,seed
0.0861,3000000.0,0.0,150,850,1000,True,5000
0.1013,3000000.0,0.0,150,850,1000,True,5001
0.0923,3000000.0,0.0,150,850,1000,True,5002
0.0981,3000000.0,0.0,150,850,1000,True,5003
0.0922,3000000.0,0.0,150,850,1000,True,5004
0.0838,3000000.0,0.0,150,850,1000,True,5005
0.0993,3000000.0,0.0,150,850,1000,True,5006
0.0843,3000000.0,0.0,150,850,1000,True,5007
0.0856,3000000.0,0.0,150,850,1000,True,5008
0.0995,3000000.0,0.0,150,850,1000,True,5009
0.0878,3000000.0,0.0,150,850,1000,True,5010
0.0875,3000000.0,0.0,150,850,1000,True,5011
0.0931,3000000.0,0.0,150,850,1000,True,5012
0.09,3000000.0,0.0,150,850,1000,True,5013
0.098,3000000.0,0.0,150,850,1000,True,5014
0.1023,3000000.0,0.0,150,850,1000,True,5015
0.0931,3000000.0,0.0,150,850,1000,True,5016
0.0928,3000000.0,0.0,150,850,1000,True,5017
0.0869,3000000.0,0.0,150,850,1000,True,5018
0.0834,3000000.0,0.0,150,850,1000,True,5019
0.0889,3000000.0,0.0,150,850,1000,True,5020
0.0874,3000000.0,0.0,150,850,1000,True,5021
0.0901,3000000.0,0.0,150,850,1000,True,5022
0.0974,3000000.0,0.0,150,850,1000,True,5023
0.0988,3000000.0,0.0,150,850,1000,True,5024
0.0951,3000000.0,0.0,150,850,1000,True,5025
0.0937,3000000.0,0.0,150,850,1000,True,5026
0.0892,3000000.0,0.0,150,850,1000,True,5027
0.0946,3000000.0,0.0,150,850,1000,True,5028
0.0861,3000000.0,0.0,150,850,1000,True,5029
0.0883,3000000.0,0.0,150,850,1000,True,5030
0.0912,3000000.0,0.0,150,850,1000,True,5031
0.097,3000000.0,0.0,150,850,1000,True,5032
0.0973,3000000.0,0.0,150,850,1000,True,5033
0.0961,3000000.0,0.0,150,850,1000,True,5034
0.0881,3000000.0,0.0,150,850,1000,True,5035
0.095,3000000.0,0.0,150,850,1000,True,5036
0.1084,3000000.0,0.0,150,850,1000,True,5037
0.0958,3000000.0,0.0,150,850,1000,True,5038
0.0909,3000000.0,0.0,150,850,1000,True,5039
0.0985,3000000.0,0.0,150,850,1000,True,5040
0.0862,3000000.0,0.0,150,850,1000,True,5041
0.0985,3000000.0,0.0,150,850,1000,True,5042
0.094,3000000.0,0.0,150,850,1000,True,5043
0.0878,3000000.0,0.0,150,850,1000,True,5044
0.0866,3000000.0,0.0,150,850,1000,True,5045
0.0874,3000000.0,0.0,150,850,1000,True,5046
0.0908,3000000.0,0.0,150,850,1000,True,5047
0.0878,3000000.0,0.0,150,850,1000,True,5048
0.0914,3000000.0,0.0,150,850,1000,True,5049
0.0912,3000000.0,0.0,150,850,1000,True,5050
0.0821,3000000.0,0.0,150,850,1000,True,5051
0.094,3000000.0,0.0,150,850,1000,True,5052
0.092,3000000.0,0.0,150,850,1000,True,5053
0.0896,3000000.0,0.0,150,850,1000,True,5054
0.0971,3000000.0,0.0,150,850,1000,True,5055
0.096,3000000.0,0.0,150,850,1000,True,5056
0.099,3000000.0,0.0,150,850,1000,True,5057
0.0875,3000000.0,0.0,150,850,1000,True,5058
0.0873,3000000.0,0.0,150,850,1000,True,5059
0.092,3000000.0,0.0,150,850,1000,True,5060
0.0883,3000000.0,0.0,150,850,1000,True,5061
0.1005,3000000.0,0.0,150,850,1000,True,5062
0.0897,3000000.0,0.0,150,850,1000,True,5063
0.0889,3000000.0,0.0,150,850,1000,True,5064
0.0932,3000000.0,0.0,150,850,1000,True,5065
0.091,3000000.0,0.0,150,850,1000,True,5066
0.0853,3000000.0,0.0,150,850,1000,True,5067
0.0965,3000000.0,0.0,150,850,1000,True,5068
0.09,3000000.0,0.0,150,850,1000,True,5069
0.0845,3000000.0,0.0,150,850,1000,True,5070
0.0933,3000000.0,0.0,150,850,1000,True,5071
0.0982,3000000.0,0.0,150,850,1000,True,5072
0.0901,3000000.0,0.0,150,850,1000,True,5073
0.0999,3000000.0,0.0,150,850,1000,True,5074
0.0887,3000000.0,0.0,150,850,1000,True,5075
0.0956,3000000.0,0.0,150,850,1000,True,5076
0.0917,3000000.0,0.0,150,850,1000,True,5077
