scenario,emission_model,seed,final_N,final_P,final_C,final_T,bme_max,total_emission,total_burned,slashed_total
bull,static,1023,11934,17.388854,102346529.0,423814867.0,0.005387,176424539.0,263125.5099999998,273814867
bull,static,1024,11934,7.772105,99138809.0,427100161.0,0.005514,176424539.0,185552.13999999996,277100161
bull,static,1025,11934,7.680807,101596479.0,424571646.0,0.005608,176424539.0,256397.2600000003,274571646
bull,static,1026,11934,46.562884,101390757.0,424825759.0,0.004848,176424539.0,208005.7299999997,274825759
bull,static,1027,11934,8.149531,98726552.0,427455940.0,0.005605,176424539.0,242030.0199999999,277455940
bull,static,1028,11934,16.443648,102399276.0,423713247.0,0.005517,176424539.0,311998.4199999997,273713247
bull,static,1029,11934,9.705289,100371472.0,425785691.0,0.005215,176424539.0,267358.82000000007,275785691
bear,pid,1000,4240,0.076702,245037395.0,415604083.0,0.00369,311024657.0,383206.1600000012,265604083
bear,pid,1001,6596,0.241098,141339750.0,450375593.0,0.002816,241956095.0,240683.58000000025,300375593
bear,pid,1002,4974,0.087364,229628608.0,416966251.0,0.003759,296945422.0,350605.26000000024,266966251
bear,pid,1003,7071,0.344448,128514597.0,433544785.0,0.003186,212271450.0,212092.18999999986,283544785
bear,pid,1004,6476,0.161543,182406509.0,424245592.0,0.003712,257009901.0,357821.1300000005,274245592
bear,pid,1005,4961,0.056107,224151706.0,422562606.0,0.003524,297239455.0,387629.09999999916,272700081
bear,pid,1006,10780,0.677464,122635409.0,478005790.0,0.003173,250893952.0,252739.68000000023,328005790
bear,pid,1007,7477,0.172767,198457134.0,425035545.0,0.003573,273898694.0,405950.4599999995,275035545
bear,pid,1008,5912,0.113099,188130786.0,422396598.0,0.003616,260845810.0,318409.61000000016,272396598
bear,pid,1009,6242,0.194517,166912522.0,425324800.0,0.004179,242511296.0,273975.8900000001,275324800
bear,pid,1010,5511,0.122833,171168556.0,447537458.0,0.003233,269070606.0,364544.50000000023,297537458
bear,pid,1011,5990,0.145232,200156566.0,421008405.0,0.003381,271527699.0,362723.42999999993,271008405
bear,pid,1012,6500,0.267286,176867181.0,425542977.0,0.003108,252696409.0,286279.4799999998,275542977
bear,pid,1013,5977,0.159272,150428253.0,434066790.0,0.00293,234745549.0,250483.96999999988,284066790
bear,pid,1014,7071,0.195497,190760082.0,456630756.0,0.004589,297803485.0,412630.63999999897,306630756
